,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
20,20396,Kaspa,KAS,kaspa,138,2022-06-01T00:03:58.000Z,"['mineable', 'dag', 'pow', 'store-of-value', 'polychain-capital-portfolio', 'layer-1']",28704026601.0,24743026769.659187,24743026769.659187,False,,21,,,,2024-09-20T09:43:00.000Z,0.17062660995681653,74001446.7958628,-8.2331,0.28182721,-0.92159628,3.36379116,7.64214834,-1.9373667,15.49444602,4221818777.777708,0.1912,4897670751.04,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
21,7083,Uniswap,UNI,uniswap,1096,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",,600210149.71,1000000000.0,False,,22,,,0.79236584,2024-09-20T09:43:00.000Z,6.86701522930727,141295463.76797143,0.9436,-0.02232688,1.20465984,1.82199211,7.30033778,-13.65341383,-31.23477114,4121652238.843367,0.1866,6867015229.31,5201703562.71899,2024-09-20T09:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2024-09-20 16:46:41.458809
22,3773,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance,377,2019-03-02T00:00:00.000Z,"['cosmos-ecosystem', 'ai-big-data', 'collectibles-nfts', 'iot', 'binance-launchpad', 'web3', 'injective-ecosystem', 'generative-ai', 'dwf-labs-portfolio']",2630547141.0,2520000000.0,2630547141.0,False,,23,1054456327.0,1698225599.0416336,,2024-09-20T09:43:00.000Z,1.6105224612509093,347603577.57931864,-18.467,0.29330429,5.35185955,22.12258516,79.61450076,13.47611454,3.92032448,4058516602.352291,0.1838,4236555255.96,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
23,20947,Sui,SUI,sui,321,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2679963749.6338882,10000000000.0,False,,24,,,,2024-09-20T09:43:00.000Z,1.5045211812275778,770435536.432464,-12.2083,2.37708399,12.7137379,49.65310855,76.40175467,78.71510334,68.6936165,4032062226.2462664,0.1826,15045211812.28,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
24,8916,Internet Computer,ICP,internet-computer,292,2021-03-23T00:00:00.000Z,"['platform', 'ai-big-data', 'smart-contracts', 'polychain-capital-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'internet-computer-ecosystem', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",,471201301.36644554,523432122.8685931,True,,25,471201301.36644554,4007469428.16254,,2024-09-20T09:43:00.000Z,8.504792785039438,105258169.90032357,4.3082,0.74099255,3.5359165,2.74163015,15.10733098,-17.52643776,3.47583388,4007469428.16254,0.1814,4451681742.03,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
25,21794,Aptos,APT,aptos,422,2022-10-19T01:50:25.000Z,"['binance-labs-portfolio', 'aptos-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'move-vm']",,500214540.01129484,1116855835.9509017,True,,26,130000000.0,927040329.8015927,,2024-09-20T09:43:00.000Z,7.131079460012252,209934535.18019548,49.8841,0.92484365,11.92859712,16.45844663,15.67783411,-2.88818144,4.41879294,3567069631.8740215,0.1615,7964387711.54,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
26,24478,Pepe,PEPE,pepe,447,2023-04-17T06:18:08.000Z,['memes'],420690000000000.0,420689899999994.8,420689899999994.8,False,,27,,,,2024-09-20T09:43:00.000Z,8.360629425438861e-06,950878896.6500804,24.6989,0.3167184,6.61028673,13.46102733,8.57255037,-30.51152596,-25.50371589,3517232356.9248886,0.1593,3517233192.99,,2024-09-20T09:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,2024-09-20 16:46:41.458809
27,328,Monero,XMR,monero,293,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,18446744.07370955,18446744.07370955,True,,28,,,,2024-09-20T09:44:00.000Z,178.14729018556474,74504126.95753597,14.7818,0.91520546,3.61631077,4.62333454,12.94062171,8.20486104,10.49968131,3286237469.477982,0.1488,3286237469.48,,2024-09-20T09:44:00.000Z,,,,,,2024-09-20 16:46:41.458809
28,22974,Bittensor,TAO,bittensor,89,2023-03-06T05:20:00.000Z,"['ai-big-data', 'distributed-computing', 'oracles', 'dao', 'polkadot-ecosystem', 'polychain-capital-portfolio', 'dcg-portfolio', 'open-source', 'generative-ai', 'depin']",21000000.0,7380936.0,7380936.0,False,,29,,,,2024-09-20T09:44:00.000Z,421.539609973531,183815629.1184425,15.7417,0.45692356,15.13271562,45.0576547,44.60134079,25.366859,49.3138213,3111356882.679594,0.1409,8852331809.44,,2024-09-20T09:44:00.000Z,,,,,,2024-09-20 16:46:41.458809
29,28321,POL (ex-MATIC),POL,polygon-ecosystem-token,203,2023-10-30T14:43:57.000Z,[],,7260291802.124323,10259155118.486773,False,,30,62242397.94040099,25351299.79231426,,2024-09-20T09:43:00.000Z,0.4072995358660332,61289552.49592339,0.4873,0.04801074,2.85319788,6.93193345,-14.20423029,-23.75794827,-28.37194994,2957113481.257202,0.1338,4178549118.14,,2024-09-20T09:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,2024-09-20 16:46:41.458809
30,26081,First Digital USD,FDUSD,first-digital-usd,364,2023-07-26T04:26:40.000Z,"['stablecoin', 'ethereum-ecosystem', 'binance-smart-chain', 'usd-stablecoin', 'sui-ecosystem', 'fiat-stablecoin']",,2931366071.86,2931366071.86,False,,31,,,,2024-09-20T09:43:00.000Z,0.9993708118081008,6112965598.618324,-3.993,-0.01079116,-0.08170674,-0.00582059,-0.13114719,-0.06191154,-0.02094906,2929521690.941452,0.1327,2929521690.94,,2024-09-20T09:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,2024-09-20 16:46:41.458809
31,512,Stellar,XLM,stellar,613,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.0,29575289309.54625,50001786939.44847,False,,32,,,,2024-09-20T09:43:00.000Z,0.0969546912879457,61133371.18501167,13.8171,0.42003312,1.68181819,2.1452977,-0.34758176,-6.58707493,6.71622484,2867463044.7587376,0.1298,4847909743.3,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
32,1321,Ethereum Classic,ETC,ethereum-classic,560,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio']",210700000.0,148813371.24925485,210700000.0,False,,33,,,,2024-09-20T09:43:00.000Z,19.212110762134436,132423857.31744786,4.981,0.65850725,3.41163776,4.54605913,1.34235073,-18.10728448,-17.73243673,2859018971.3273163,0.1294,4047991737.58,,2024-09-20T09:43:00.000Z,,,,,,2024-09-20 16:46:41.458809
33,5690,Render,RENDER,render,465,2020-06-11T00:00:00.000Z,"['art', 'media', 'vr-ar', 'ai-big-data', 'distributed-computing', 'collectibles-nfts', 'scaling', 'video', 'ethereum-ecosystem', 'solana-ecosystem', 'metaverse', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'polygon-ecosystem', 'web3', 'generative-ai', 'depin']",,517460631.4554916,532220804.73549163,False,,34,,,,2024-09-20T09:43:00.000Z,5.401111028369204,285395276.0701045,-11.3499,0.60297284,5.50676601,5.79547499,19.97928187,-22.04352894,-26.97791842,2794862323.301148,0.1266,2874583657.98,,2024-09-20T09:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,2024-09-20 16:46:41.458809
